   car_id,horsepower,mileage_miles,price_usd
1,200,15000,25000
2,450,2000,60000
3,150,40000,18000
4,202,140643,25280
5,448,39044,59720
6,370,52214,48800
7,206,115752,25840
8,171,49984,20940
9,288,41774,37320
10,120,3568,13800
11,202,121151,25280
12,221,134767,27940
13,314,125375,40960
14,430,137330,57200
15,187,40504,23180
16,472,14986,63080
17,199,62858,24860
18,459,130312,61260
19,251,13666,32140
20,230,39660,29200
21,249,135633,31860
22,408,27854,54120
23,357,65505,46980
24,443,105488,59020
25,393,23662,52020
26,485,9392,64900
27,291,31535,37740
28,376,114569,49640
29,260,53256,33400
30,413,90135,54820
31,121,128478,13940
32,352,36222,46280
33,335,78373,43900
34,444,124684,59160
35,148,11965,17720
36,158,25538,19120
37,269,109066,34660
38,287,114252,37180
39,370,140182,48800
40,289,99806,37460
41,274,138982,35360
42,150,111989,18000
43,463,91982,61820
44,154,122626,18560
45,343,120176,45020
46,419,132278,55660
47,230,123409,29200
48,406,24419,53840
49,234,51015,29760
50,120,123096,13800
51,428,108059,56920
52,266,111687,34240
53,373,88939,49220
54,487,106878,65180
55,188,63623,23320
56,415,76450,55100
57,113,94426,12820
58,341,118845,44740
59,364,44585,47960
60,445,110225,59300
61,152,65044,18280
62,485,110556,64900
63,439,3693,58460
64,191,96259,23740
65,466,26939,62240
66,363,19047,47820
67,134,27105,15760
68,305,76766,39700
69,180,147779,22200
70,149,45262,17860
71,459,126117,61260
72,487,24776,65180
73,101,129376,11140
74,489,138848,65460
75,153,93787,18420
76,205,128948,25700
77,359,56016,47260
78,409,141546,54260
79,290,22959,37600
80,317,137602,41380
81,143,120101,17020
82,261,4748,33540
83,301,14545,39140
84,369,128659,48660
85,450,74530,60000
86,403,94557,53420
87,370,62087,48800
88,314,69840,40960
89,351,119451,46140
90,289,52005,37460
91,395,40353,52300
92,312,53733,40680
93,307,66318,39980
94,336,68172,44040
95,437,94264,58180
96,466,27736,62240
97,152,113859,18280
98,379,113181,50060
99,316,132926,41240
100,351,91084,46140
